code,name,Marcap,current_price,1W,1M,3M,6M,1Y,2Y,YTD,3Y,4Y,sector_name
000990,DB하이텍,4789855138800,110100,0.45620437956204374,-27.1343481138319,-27.56578947368421,20.98901098901099,139.86928104575162,108.91840607210625,62.8698224852071,87.56388415672913,148.5327313769752,반도체와반도체장비
254490,미래반도체,223789000000,15500,-1.2738853503184715,-24.574209245742093,-22.693266832917704,-1.9607843137254901,-15.115005476451259,19.322555812163202,-4.791154791154791,-40.95238095238095,,반도체와반도체장비
232140,와이씨,796660348500,9710,-2.7054108216432864,-26.27182991647684,-58.32618025751073,-33.401920438957475,-14.2226148409894,-41.222760290556906,-32.94198895027624,126.86915887850468,126.60443407234538,반도체와반도체장비
464500,아이언디바이스,23830526889,1703,-6.684931506849315,-16.519607843137255,-57.89864029666255,-49.239940387481376,-45.93650793650794,,-47.76073619631902,,,반도체와반도체장비
272110,케이엔제이,228723757500,28500,-0.6968641114982579,-7.01468189233279,-27.388535031847134,23.376623376623375,56.93832599118943,55.73770491803278,31.944444444444443,21.794871794871796,150.0,반도체와반도체장비
110990,디아이티,333774000000,17660,1.0297482837528604,-10.400811770674784,-31.15009746588694,0.05665722379603399,32.28464419475656,-9.667519181585678,21.2079615648593,79.10750507099391,148.38255977496485,반도체와반도체장비
405100,큐알티,132355771770,10770,0.6542056074766356,-15.196850393700787,-50.59633027522936,-30.65035415325177,-17.28110599078341,-35.50898203592814,-32.264150943396224,-13.285024154589372,,반도체와반도체장비
394280,오픈엣지테크놀로지,271896189600,10320,-1.0546500479386385,-14.071606994171523,-49.03703703703704,-23.214285714285715,-17.8343949044586,-44.004340748779164,-28.08362369337979,-53.92857142857142,,반도체와반도체장비
264660,씨앤지하이테크,123361672680,12690,1.3578274760383386,-0.8593750000000001,-39.85781990521327,-28.707865168539325,1.4388489208633095,4.478840770624074,-20.18867924528302,-12.80148423005566,7.642717787768259,반도체와반도체장비
445180,퓨릿,131497288200,7650,-0.7782101167315175,-5.904059040590406,-34.61538461538461,-16.39344262295082,19.53125,-18.87592788971368,-12.969283276450511,,,반도체와반도체장비
005930,삼성전자,1578495224160000,270000,5.88235294117647,-12.903225806451612,23.006833712984054,77.51479289940828,306.6265060240964,221.81168057210968,125.18765638031692,283.5227272727273,340.45676998368674,반도체와반도체장비
080520,오디텍,32665173045,2885,-1.1986301369863013,1.9434628975265018,-35.4586129753915,-4.628099173553719,-13.233082706766917,-29.54822954822955,-8.990536277602523,-40.576725025746654,-47.25776965265082,반도체와반도체장비
241770,메카로,324125952000,31800,-3.490136570561457,-29.646017699115045,-20.8955223880597,40.707964601769916,143.11926605504587,303.5532994923858,38.26086956521739,151.38339920948616,198.59154929577466,반도체와반도체장비
089790,제이티,41932560345,4065,-0.6112469437652812,-13.326226012793176,-35.98425196850394,-12.012987012987013,-3.214285714285714,-39.77777777777778,-10.165745856353592,-58.09278350515464,-43.0672268907563,반도체와반도체장비
418420,라온텍,107557080210,3495,-1.6877637130801686,-24.51403887688985,-54.903225806451616,-32.78846153846154,-26.959247648902824,-24.919441460794843,-20.74829931972789,-58.8339222614841,,반도체와반도체장비
226590,엠디바이스,128065568800,11950,3.106125970664366,-8.569242540168325,-56.54545454545455,-21.484888304862025,13.270142180094787,,-10.015060240963855,,,반도체와반도체장비
079370,제우스,291559706000,9400,-3.192584963954686,-7.114624505928854,-44.8032883147387,-39.39393939393939,-23.26530612244898,-34.26573426573427,-36.31436314363143,-43.25727393456477,17.750219215833646,반도체와반도체장비
006200,한국전자홀딩스,22278292260,2380,-1.0395010395010396,4.157549234135667,-42.44256348246675,-27.878787878787882,-38.18181818181819,-43.46793349168646,-26.769230769230766,-59.106529209621996,-66.94444444444444,반도체와반도체장비
084370,유진테크,2804923540800,122400,-16.62125340599455,-24.444444444444443,-9.66789667896679,62.11920529801325,182.35294117647058,175.0561797752809,63.2,280.1242236024845,302.6315789473684,반도체와반도체장비
